Manufacturer,Model Name,Category,Screen Size,Screen,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros)
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.4kg,1129
HP,Stream 14-AX001nv,Notebook,"14.0""",1366x768,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows,10,1.44kg,279
Dell,Latitude 5590,Ultrabook,"15.6""",Full HD 1920x1080,16GB,512GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows,10,1.88kg,1607.96
Asus,VivoBook Flip,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.5kg,375
Dell,Inspiron 5570,Ultrabook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,AMD Radeon 530,Windows,10,1.9kg,663
Dell,XPS 15,Notebook,"15.6""",4K Ultra HD / Touchscreen 3840x2160,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.06kg,2027.42
HP,Elitebook 850,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.84kg,1304
MSI,GP72MVR 7RFX,Gaming,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.7kg,1409
HP,Zbook 15,Workstation,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia Quadro M1200,Windows,10,2.6kg,1738.27
Toshiba,Tecra A50-C-21G,Notebook,"15.6""",IPS Panel Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce 930M,Windows,10,2.4kg,1403
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.02kg,970.9
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 500,No OS,,2.2kg,321.99
Dell,Inspiron 7577,Gaming,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.65kg,999
Dell,Inspiron 3567,Notebook,"15.6""",Touchscreen 1366x768,8GB,2TB HDD,Intel HD Graphics 620,Windows,10,2.36kg,557.37
Dell,Latitude 7480,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,1427
HP,250 G6,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,1.86kg,439
Asus,Zenbook UX410UA-GV027T,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2kg,945
Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",1600x900,6GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 940MX,Windows,10,2.8kg,719
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,1.86kg,639
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",1366x768,8GB,256GB SSD,Nvidia GeForce 920MX ,No OS,,2.2kg,499
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,"15.6""",1366x768,8GB,2TB HDD,Intel HD Graphics 405,Windows,10,2.04kg,389
Dell,Inspiron 5770,Notebook,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.8kg,1085
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,No OS,,2.4kg,809
Dell,Inspiron 5567,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon R7 M445,Windows,10,2.33kg,899
HP,Elitebook 1040,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,1750
Asus,ZenBook Flip,2 in 1 Convertible,"15.6""",Full HD / Touchscreen 1920x1080,12GB,512GB SSD +  2TB HDD,Nvidia GeForce GT 940MX,Windows,10,2.26kg,1099
Acer,Aspire 3,Notebook,"15.6""",1366x768,4GB,128GB SSD,AMD Radeon R5,Windows,10,2.1kg,426
Asus,Rog Strix,Gaming,"17.3""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.25kg,2199
Lenovo,IdeaPad 110-17ACL,Notebook,"17.3""",1600x900,4GB,128GB SSD,AMD Radeon R5,Windows,10,2.6kg,489
Dell,Inspiron 5379,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.62kg,869.01
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,AMD Radeon R5,Windows,10,1.91kg,488.99
Lenovo,Yoga 11e,Netbook,"11.6""",IPS Panel 1366x768,4GB,128GB SSD,Intel HD Graphics 500,Windows,10,1.59kg,553
Dell,Inspiron 3552,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 400,Windows,10,1.8kg,309
Asus,VivoBook E403NA,Notebook,"14.0""",1366x768,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.5kg,286
Acer,Aspire 7,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Linux,,2.4kg,846
HP,Omen 17-w212nv,Gaming,"17.3""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,3.35kg,1191
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 520,No OS,,1.85kg,403.5
Asus,ROG Strix,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.3kg,1655
Lenovo,IdeaPad 720S-14IKB,Notebook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.5kg,1099
Asus,Zenbook Flip,Ultrabook,"13.3""",Full HD / Touchscreen 1920x1080,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.1kg,1748.9
Lenovo,Thinkpad X1,Ultrabook,"14.0""",IPS Panel 2560x1440,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.13kg,2282
Lenovo,Ideapad 510S-13IKB,Notebook,"13.3""",IPS Panel Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.5kg,549
Dell,Precision 3510,Workstation,"15.6""",Full HD 1920x1080,8GB,500GB HDD,AMD FirePro W5130M,Windows,10,2.23kg,1369
Dell,Precision 5520,Workstation,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia Quadro M1200,Windows,10,2kg,2135
Lenovo,ThinkPad X1,2 in 1 Convertible,"14.0""",Touchscreen 2560x1440,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.42kg,2509
Asus,Rog GL753VD-GC042T,Gaming,"17.3""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,3kg,1039
Asus,Rog GL753VE-GC070T,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,3kg,1591
Acer,Aspire 5,Notebook,"15.6""",IPS Panel 1366x768,12GB,1TB HDD,Nvidia GeForce MX130,Windows,10,2.2kg,693.99
MSI,Leopard GP72M,Gaming,"17.3""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7kg,1349
Dell,Inspiron 5567,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon R7 M445,Linux,,2.33kg,778.87
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,AMD Radeon 520,Windows,10,1.91kg,499
Lenovo,ThinkPad E580,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,AMD Radeon RX 550,Windows,10,2.1kg,1229.56
Lenovo,ThinkPad L470,Notebook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.9kg,938
Dell,Precision M5520,Workstation,"15.6""",4K Ultra HD / Touchscreen 3840x2160,8GB,256GB SSD,Nvidia Quadro M1200,Windows,10,1.78kg,2712
Lenovo,Thinkpad X1,Ultrabook,"14.0""",IPS Panel 2560x1440,16GB,1TB SSD,Intel HD Graphics 620,Windows,10,1.13kg,2625
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 500,Windows,10,2.2kg,306
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.9kg,1529
Lenovo,ThinkPad E580,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 550,Windows,10,2.1kg,1144.5
Acer,Aspire 7,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,Linux,,2.5kg,879
MSI,GE73VR 7RF,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.8kg,2249
Asus,Zenbook 3,Ultrabook,"14.0""",Full HD 1920x1080,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.10kg,1873
Toshiba,Portege Z30-C-16P,Ultrabook,"13.3""",Full HD 1920x1080,16GB,512GB SSD,Intel HD Graphics 520,Windows,10,1.2kg,1747
Dell,Latitude 7480,Ultrabook,"14.0""",Full HD 1920x1080,8GB,512GB SSD,Intel HD Graphics,Windows,10,1.36kg,1680
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,2.2kg,409
Lenovo,Lenovo IdeaPad,Notebook,"11.6""",1366x768,2GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.15kg,304.45
Lenovo,ThinkPad P51,Workstation,"15.6""",Full HD 1920x1080,8GB,512GB SSD,Nvidia Quadro M1200,Windows,10,2.67kg,1925
Lenovo,Thinkpad T470p,Ultrabook,"14.0""",IPS Panel Full HD 2560x1440,8GB,512GB SSD,Nvidia GeForce GT 940MX,Windows,10,1.7kg,1943
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,AMD Radeon 520,Windows,10,2.1kg,469
Acer,Aspire R7,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.6kg,789.01
Asus,ZenBook Flip,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.27kg,928
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,AMD Radeon R5 M430,Linux,,2.3kg,598.9
Dell,Latitude 3380,Notebook,"13.3""",1366x768,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.65kg,689
HP,EliteBook 1040,Ultrabook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.43kg,1500
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.14kg,539.95
Lenovo,ThinkPad E480,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,AMD Radeon RX 550,Windows,10,1.75kg,1215.38
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,"15.6""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows,10,2kg,1899
Chuwi,LapBook 12.3,Notebook,"12.3""",IPS Panel Retina Display 2736x1824,6GB,64GB Flash Storage,Intel HD Graphics 500,Windows,10,1.4kg,449
HP,ProBook 650,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 630,Windows,10,2.31kg,1427
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,,2.3kg,597
Dell,Alienware 17,Gaming,"17.3""",IPS Panel 2560x1440,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,2799
Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.62kg,1159
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.02kg,1142.4
Dell,Latitude 5480,Ultrabook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Linux,,1.6kg,1099
HP,Omen 17-w207nv,Gaming,"17.3""",Full HD 1920x1080,12GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,3.35kg,1999
Mediacom,FlexBook Edge,2 in 1 Convertible,"11.6""",IPS Panel Full HD / Touchscreen 1920x1080,4GB,32GB SSD,Intel HD Graphics 500,Windows,10,1.16kg,299
Samsung,Chromebook 3,Netbook,"11.6""",1366x768,4GB,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.15kg,269
Lenovo,Thinkpad 13,Notebook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.4kg,1010
Lenovo,IdeaPad 320s-14IKB,Notebook,"14.0""",IPS Panel Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.7kg,599
Lenovo,Thinkpad T570,Workstation,"15.6""",IPS Panel 4K Ultra HD 3840x2160,16GB,512GB SSD,Nvidia GeForce 940MX,Windows,10,2.3kg,2445
Lenovo,Thinkpad P51,Notebook,"15.6""",Full HD 1920x1080,16GB,512GB SSD,Nvidia Quadro M2200M,Windows,10,2.5kg,2449
Asus,Rog Strix,Gaming,"17.3""",Full HD 1920x1080,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.2kg,1695
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 400,Windows,10,2.1kg,347
Google,Pixelbook (Core,Ultrabook,"12.3""",Touchscreen 2400x1600,16GB,512GB SSD,Intel HD Graphics 615,Chrome OS,,1.1kg,2199
Lenovo,ThinkPad T470s,Ultrabook,"14.0""",2560x1440,24GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.32kg,2382
Asus,VivoBook Max,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,Intel HD Graphics 620,Linux,,2kg,559
Lenovo,IdeaPad 320-15AST,Notebook,"17.3""",1600x900,8GB,1TB HDD,AMD Radeon R4,Windows,10,2.8kg,519
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,749
Lenovo,ThinkPad X270,Ultrabook,"12.5""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,1429
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 505,Windows,10,2.2kg,349
HP,Omen 15-AX205na,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,1099
Dell,Latitude 5480,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930MX,Windows,10,1.64kg,1179
Acer,Aspire ES1-572,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 620,Linux,,2.4kg,441.8
Dell,Precision 3520,Workstation,"15.6""",Full HD 1920x1080,8GB,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620,Windows,10,2.23kg,1993
MSI,GV62 7RD-1686NL,Gaming,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,1027.74
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,16GB,512GB SSD,Intel Iris Plus Graphics 640,Windows,10 S,1.25kg,2589
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,"15.6""",1366x768,8GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.91kg,589
Dell,Precision 3520,Workstation,"15.6""",IPS Panel Full HD 1920x1080,16GB,256GB SSD,Nvidia Quadro M620,Windows,10,2.17kg,1975
HP,ProBook 650,Workstation,"15.6""",IPS Panel Full HD 1920x1080,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,2.31kg,1534
Lenovo,ThinkPad T470,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.65kg,1345
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.36kg,979
Dell,Inspiron 3168,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,4GB,500GB HDD,Intel HD Graphics 405,Windows,10,1.47kg,479
Dell,Alienware 17,Notebook,"17.3""",IPS Panel Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1060,Windows,10,4.42kg,2046
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,4GB,128GB SSD,Intel HD Graphics 615,Windows,10 S,1.252kg,989
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows,10 S,1.25kg,1799
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,"17.3""",1600x900,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,2.5kg,639.9
Acer,Aspire E5-576G,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce 940MX,Windows,10,2.23kg,544
Acer,TravelMate B,Netbook,"11.6""",1366x768,4GB,128GB SSD,Intel HD Graphics 400,Windows,10,1.4kg,435
Asus,Pro P2540UA-AB51,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.37kg,749
Lenovo,IdeaPad 510s-14IKB,Notebook,"14.0""",IPS Panel Full HD 1920x1080,8GB,512GB SSD,AMD Radeon R7 M460,No OS,,1.5kg,799
Lenovo,Thinkpad P51,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia Quadro M2200M,Windows,10,2.67kg,2090
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 500,Windows,10,2kg,304
Acer,Aspire 5,Notebook,"15.6""",1366x768,4GB,500GB HDD,Nvidia GeForce GTX 940MX,Windows,10,2.2kg,469
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,8GB,2TB HDD,AMD Radeon 530,Windows,10,2.02kg,759
HP,Omen 17-an006nv,Gaming,"17.3""",IPS Panel Full HD 1920x1080,12GB,1TB HDD,Nvidia GeForce GTX 1060,Windows,10,3.78kg,1699
Lenovo,Thinkpad T460s,Ultrabook,"14.0""",IPS Panel Quad HD+ 2560x1440,12GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.4kg,1858
HP,Spectre x360,2 in 1 Convertible,"13.3""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.29kg,1999
HP,ZBook 15u,Notebook,"15.6""",Full HD 1920x1080,8GB,500GB HDD,AMD FirePro W4190M ,Windows,10,1.9kg,1154
Google,Pixelbook (Core,Ultrabook,"12.3""",Touchscreen 2400x1600,8GB,128GB SSD,Intel HD Graphics 615,Chrome OS,,1.1kg,1275
Dell,Latitude 7390,Ultrabook,"13.3""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.42kg,1841.85
Asus,ZenBook Pro,Notebook,"15.6""",IPS Panel 4K Ultra HD 3840x2160,12GB,128GB SSD +  1TB HDD,Intel HD Graphics 530,Windows,10,2.06kg,1299
Dell,Latitude E5470,Notebook,"14.0""",1366x768,8GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.79kg,740
Dell,Precision M5520,Workstation,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia Quadro M1200,Windows,10,1.78kg,2408
Lenovo,Thinkpad T470,Notebook,"14.0""",Full HD 1920x1080,8GB,1GB SSD,Intel HD Graphics 620,Windows,10,1.7kg,1364
Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,AMD Radeon 520,Windows,10,2.2kg,675
Toshiba,Portege X30-D-10J,Notebook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.05kg,1672
Dell,Inspiron 7570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,512GB SSD,Nvidia GeForce 940MX,Windows,10,2.16kg,1262
Dell,Vostro 3568,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.18kg,586.6
HP,ProBook 430,Notebook,"13.3""",IPS Panel Full HD 1920x1080,4GB,128GB SSD,Intel UHD Graphics 620,Windows,10,1.49kg,726
Chuwi,Lapbook 15.6,Notebook,"15.6""",Full HD 1920x1080,4GB,64GB Flash Storage,Intel HD Graphics,Windows,10,1.89kg,248.9
Lenovo,ThinkPad E570,Notebook,"15.6""",1366x768,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,2.3kg,565
Lenovo,ThinkPad E480,Notebook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.75kg,1049
Dell,Precision 3520,Workstation,"15.6""",IPS Panel Full HD 1920x1080,16GB,512GB SSD,Nvidia Quadro M620,Windows,10,2.17kg,2338
Dell,XPS 15,Notebook,"15.6""",Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.06kg,1899
Lenovo,Thinkpad X270,Ultrabook,"12.5""",IPS Panel Full HD 1920x1080,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,1798
Asus,Zenbook UX390UA,Ultrabook,"12.5""",Full HD 1920x1080,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,0.91kg,1950
Lenovo,Thinkpad E570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,2.3kg,1011.99
Toshiba,Portege X30-D-10L,Ultrabook,"13.3""",Full HD / Touchscreen 1920x1080,32GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.05kg,2799
Asus,VivoBook Pro,Gaming,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,1.99kg,1350
Acer,Aspire 5,Notebook,"15.6""",1366x768,8GB,1TB HDD,AMD Radeon RX 540,Windows,10,2.2kg,579
Asus,Rog G752VL-UH71T,Gaming,"17.3""",IPS Panel Full HD / Touchscreen 1920x1080,24GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 965M,Windows,10,4.33kg,1269
Lenovo,Thinkpad X260,Ultrabook,"12.5""",IPS Panel 1366x768,8GB,1GB SSD,Intel HD Graphics 520,Windows,10,1.3kg,1099
Lenovo,Ideapad 520-15IKBR,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,2.17kg,898.9
HP,EliteBook 840,Notebook,"14.0""",Full HD 1920x1080,8GB,1TB SSD,Intel HD Graphics 620,Windows,10,1.48kg,1749
Lenovo,ThinkPad 13,Notebook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.4kg,949
Lenovo,ThinkPad L570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.3kg,911
Asus,VivoBook E201NA,Netbook,"11.6""",1366x768,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows,10 S,1.2kg,340
HP,15-BS026nv (i5-7200U/8GB/256GB/Radeon,Notebook,"15.6""",1366x768,8GB,256GB SSD,AMD Radeon 520,Windows,10,1.91kg,618.99
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,"13.9""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.4kg,1599
Lenovo,IdeaPad 320-14IAP,Notebook,"14.0""",1366x768,4GB,500GB HDD,Intel HD Graphics 500,Windows,10,2.1kg,299
Lenovo,Chromebook N23,Netbook,"11.6""",1366x768,4GB,16GB SSD,Intel HD Graphics 400,Chrome OS,,1.25kg,265
Lenovo,ThinkPad 13,Notebook,"13.3""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.44kg,949
Asus,ZenBook UX510UX-CN211T,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows,10,2kg,1224
Acer,Aspire A515-51G-59QF,Notebook,"15.6""",IPS Panel Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce MX150,Windows,10,2.2kg,613
HP,Envy 13-AB002nv,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.34kg,1323
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS,,2.4kg,1149
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.29kg,899
Acer,Aspire A515-51G,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Nvidia GeForce 940MX,Windows,10,2.2kg,639
Dell,Vostro 5568,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.18kg,836
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.2kg,1219.24
Xiaomi,Mi Notebook,Notebook,"15.6""",IPS Panel Full HD 1920x1080,16GB,256GB SSD,Nvidia GeForce MX150,No OS,,1.95kg,1399.95
Asus,VivoBook E12,Netbook,"11.6""",1366x768,2GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.1kg,245
HP,15-bs190od (i5-8250U/4GB/1TB/W10),Notebook,"15.6""",Touchscreen 1366x768,4GB,1TB HDD,Intel UHD Graphics 620,Windows,10,2.04kg,521.47
Asus,ROG Zephyrus,Gaming,"15.6""",Full HD 1920x1080,24GB,512GB SSD,Nvidia GeForce GTX1080,Windows,10,2.24kg,2968
HP,Probook 450,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930MX,Windows,10,2.04kg,889
